"repo","tier","status","bytes","files","license","url","commit"
"apache/datafusion","B","ok","37442249","1945","Apache-2.0","https://github.com/apache/datafusion","7b00b63"
"bytecodealliance/wasmtime","B","ok","29277042","2323","Apache-2.0 WITH LLVM-exception","https://github.com/bytecodealliance/wasmtime","817c587"
"astral-sh/ruff","B","ok","28497681","2209","MIT","https://github.com/astral-sh/ruff","15f3fe6"
"tikv/tikv","B","ok","26675017","1428","Apache-2.0","https://github.com/tikv/tikv","3c8e5f4"
"bevyengine/bevy","B","ok","24704619","2214","MIT OR Apache-2.0","https://github.com/bevyengine/bevy","f3ab9ad"
"denoland/deno","B","ok","21136386","1355","MIT","https://github.com/denoland/deno","336da420"
"astral-sh/uv","B","ok","20115942","1139","MIT OR Apache-2.0","https://github.com/astral-sh/uv","c0df400"
"near/nearcore","B","ok","19589393","1543","GPL-3.0","https://github.com/near/nearcore","b0e9daa"
"RustPython/RustPython","B","ok","19207688","735","MIT","https://github.com/RustPython/RustPython","b6fc810"
"qdrant/qdrant","B","ok","17815775","1878","Apache-2.0","https://github.com/qdrant/qdrant","6ab21ca"
"rust-lang/rust-analyzer","B","ok","17579616","1560","MIT OR Apache-2.0","https://github.com/rust-lang/rust-analyzer","83449b2"
"pola-rs/polars","B","ok","17210583","2288","MIT","https://github.com/pola-rs/polars","abba65f"
"nushell/nushell","B","ok","14762840","2008","MIT","https://github.com/nushell/nushell","b6e6562"
"jdx/mise","B","ok","14322429","1698","MIT","https://github.com/jdx/mise","8fd8022"
"zellij-org/zellij","B","ok","11885980","440","MIT","https://github.com/zellij-org/zellij","a162323"
"rust-lang/cargo","B","ok","10836516","2296","MIT OR Apache-2.0","https://github.com/rust-lang/cargo","175537e"
"jj-vcs/jj","B","ok","9700496","528","Apache-2.0","https://github.com/jj-vcs/jj","d737b32"
"meilisearch/meilisearch","B","ok","9676109","752","MIT","https://github.com/meilisearch/meilisearch","a955694"
"rust-lang/rust-clippy","B","ok","9208833","2601","MIT OR Apache-2.0","https://github.com/rust-lang/rust-clippy","47e8223"
"DioxusLabs/dioxus","B","ok","7125577","1070","MIT OR Apache-2.0","https://github.com/DioxusLabs/dioxus","ada3b67"
"helix-editor/helix","B","ok","5782021","725","MPL-2.0","https://github.com/helix-editor/helix","079a789"
"typst/typst","B","ok","5478608","445","Apache-2.0","https://github.com/typst/typst","586e1bd"
"emilk/egui","B","ok","4628648","517","MIT OR Apache-2.0","https://github.com/emilk/egui","441971a"
"firecracker-microvm/firecracker","B","ok","4560039","390","Apache-2.0","https://github.com/firecracker-microvm/firecracker","eaba0ed"
"tauri-apps/tauri","B","ok","3420348","471","MIT OR Apache-2.0","https://github.com/tauri-apps/tauri","1d37fb0"
"lapce/lapce","B","ok","2482018","171","Apache-2.0","https://github.com/lapce/lapce","b604d57"
"alacritty/alacritty","B","ok","1178551","106","Apache-2.0","https://github.com/alacritty/alacritty","d692748"
"chroma-core/chroma","B","skipped-size","0","0","Apache-2.0","https://github.com/chroma-core/chroma",""
"rust-lang/rust","B","skipped-size","0","0","MIT OR Apache-2.0","https://github.com/rust-lang/rust",""
"microsoft/windows-rs","B","skipped-size","0","0","MIT OR Apache-2.0","https://github.com/microsoft/windows-rs",""
"servo/servo","B","skipped-size","0","0","MPL-2.0","https://github.com/servo/servo",""
"wasmerio/wasmer","B","skipped-size","0","0","MIT","https://github.com/wasmerio/wasmer",""
"swc-project/swc","B","skipped-size","0","0","Apache-2.0","https://github.com/swc-project/swc",""
"unionlabs/union","B","skipped-size","0","0","Apache-2.0","https://github.com/unionlabs/union",""
"solana-labs/solana","B","skipped-size","0","0","Apache-2.0","https://github.com/solana-labs/solana",""
"Wilfred/difftastic","B","skipped-size","0","0","MIT","https://github.com/Wilfred/difftastic",""
"aptos-labs/aptos-core","B","skipped-size","0","0","Apache-2.0","https://github.com/aptos-labs/aptos-core",""
"influxdata/influxdb","B","clone-failed","0","0","Apache-2.0","https://github.com/influxdata/influxdb",""
"vercel/turborepo","B","skipped-size","0","0","MIT","https://github.com/vercel/turborepo",""
"block/buzz","B","skipped-size","0","0","Apache-2.0","https://github.com/block/buzz",""
"openai/codex","B","skipped-size","0","0","Apache-2.0","https://github.com/openai/codex",""
